cyclomatic_complexity,cognitive_complexity,nesting_depth,lines_of_code,num_methods,num_classes,num_parameters,code_duplication,test_coverage,comment_ratio,inheritance_depth,coupling,cohesion,num_sql_queries,num_file_operations,num_network_calls,input_validation_ratio,uses_encryption,num_annotations,dependency_injection_usage,patterns,vulnerability_type,severity
3,11,7,9,1,1,1,0.44586773052889683,0.9641249320200836,0.3083748149938714,0,0,0.9261987735078655,5,3,14,0.31632743570621025,1,13,0.5802601756485246,"Singleton Design Pattern,restful_api_pattern,repository_pattern,basic_programming_constructs,core_annotations_di,web_mvc_annotations",none,LOW
1,53,4,6,1,1,0,0.10233447379697375,0.8291734819991589,0.0371015170631547,0,0,0.9497788450562588,17,4,1,0.40080248605139956,0,20,0.9659619423317003,"Singleton Design Pattern,dependency_injection,spring_mvc_pattern,repository_pattern,basic_programming_constructs,core_annotations_di,spring_data_jpa",none,LOW
3,46,2,11,1,1,1,0.429438788129366,0.266341112802403,0.311757140272684,0,0,0.9052073647996619,7,9,1,0.24384985373836243,1,8,0.194449475715037,"Singleton Design Pattern,repository_pattern,basic_programming_constructs",sql_injection,MEDIUM
3,30,7,9,2,1,1,0.15051304352084943,0.022407596479367298,0.01279940747277939,0,0,0.9156769731465147,18,1,4,0.8855622255659371,0,3,0.7173828196869961,"Singleton Design Pattern,basic_programming_constructs,optional_null_safety",none,LOW
2,57,5,10,2,1,0,0.47049946391254854,0.833541702882851,0.1991864242885961,0,0,0.928609477350965,3,2,2,0.2956165192600775,1,22,0.4332058767527812,"Singleton Design Pattern,spring_mvc_pattern,repository_pattern,basic_programming_constructs,lombok_jpa_annotations,core_annotations_di",authentication_bypass,CRITICAL
2,18,1,14,2,1,1,0.1405325744733676,0.05572023197871323,0.34457458539330654,0,2,0.928889760561792,3,6,3,0.29220738195239415,1,7,0.139096026813046,"Singleton Design Pattern,basic_programming_constructs",path_traversal,MEDIUM
1,51,5,8,1,1,1,0.4634242715813381,0.20562808147077039,0.034598109608559025,0,2,0.9335503748972749,6,6,14,0.6316186734245453,0,9,0.03327848493216157,"Singleton Design Pattern,restful_api_pattern,repository_pattern,basic_programming_constructs,http_request_processing",insecure_deserialization,CRITICAL
1,48,3,13,1,1,0,0.48189535723204,0.5444532154467844,0.2070955745976679,0,2,0.9239179173684972,7,7,0,0.12272895601858502,1,16,0.7133751483171755,"Singleton Design Pattern,dependency_injection,spring_mvc_pattern,repository_pattern,basic_programming_constructs,core_annotations_di,spring_data_jpa",sql_injection,MEDIUM
1,66,7,12,1,1,1,0.07274567872850712,0.17837803914364359,0.06375657558452655,0,1,0.9339780225790252,8,2,10,0.2191795802618769,1,5,0.14393625902016605,"Singleton Design Pattern,restful_api_pattern,basic_programming_constructs",sql_injection,MEDIUM
1,96,6,7,2,1,0,0.4872499416313915,0.8337883312986419,0.35792630002437414,0,2,0.9117653799930652,0,1,3,0.4299016975695028,1,4,0.298429525462202,"Singleton Design Pattern,basic_programming_constructs",none,LOW
2,8,8,12,1,1,0,0.04286148421464114,0.7771596962598291,0.3329382108134521,0,2,0.9309646629009642,16,1,10,0.18260941647511209,1,9,0.4013781947299284,"Singleton Design Pattern,restful_api_pattern,repository_pattern,basic_programming_constructs,core_annotations_di",sql_injection,MEDIUM
3,22,5,14,2,1,1,0.10928389330626098,0.7557695057372498,0.3735668973173951,0,1,0.9567337475172706,6,5,3,0.2573249055164467,0,25,0.7058730842727162,"Singleton Design Pattern,dependency_injection,spring_mvc_pattern,repository_pattern,basic_programming_constructs,lombok_jpa_annotations,core_annotations_di,openapi_documentation,spring_data_jpa",sql_injection,MEDIUM
3,6,2,9,1,1,0,0.22208439043640227,0.8161276158975765,0.34999293661203745,0,2,0.9024087605842844,19,1,3,0.6999279200172615,0,16,0.38762162400012223,"Singleton Design Pattern,spring_mvc_pattern,repository_pattern,basic_programming_constructs,core_annotations_di,spring_data_jpa",none,LOW
2,76,9,13,2,1,1,0.49679868285585504,0.21970178026461207,0.2946213239463963,0,1,0.9537693745387567,9,3,2,0.27984108658074114,1,15,0.3862902938598882,"Singleton Design Pattern,spring_mvc_pattern,repository_pattern,basic_programming_constructs,core_annotations_di,spring_data_jpa",sql_injection,MEDIUM
1,57,8,8,2,1,1,0.24428152558268967,0.7288923761497493,0.07395567823540113,0,0,0.9270477544548661,0,8,1,0.6371961146759761,0,24,0.7942338131591874,"Singleton Design Pattern,dependency_injection,spring_mvc_pattern,basic_programming_constructs,lombok_jpa_annotations,core_annotations_di",xxe,MEDIUM
2,36,6,11,2,1,1,0.2752047215892429,0.3552815025917647,0.12100104626756028,0,1,0.9391673850479023,17,9,3,0.49440715445451333,1,26,0.006981139293154692,"Singleton Design Pattern,spring_mvc_pattern,repository_pattern,basic_programming_constructs,lombok_jpa_annotations,spring_data_jpa",authentication_bypass,HIGH
3,79,7,11,1,1,0,0.34721247476182426,0.6668447595683995,0.198742063323203,0,0,0.9418468368074394,13,2,12,0.7676244681458474,0,25,0.753856975022175,"Singleton Design Pattern,dependency_injection,spring_mvc_pattern,restful_api_pattern,repository_pattern,basic_programming_constructs,optional_null_safety,lombok_jpa_annotations,core_annotations_di,web_mvc_annotations,http_request_processing,spring_data_jpa",insecure_deserialization,HIGH
1,92,9,12,2,1,0,0.4841467791364757,0.12202172863117478,0.23555871260588948,0,2,0.9345980785609498,18,0,7,0.7507225952604829,0,22,0.5216796014129154,"Singleton Design Pattern,spring_mvc_pattern,restful_api_pattern,repository_pattern,basic_programming_constructs,optional_null_safety,lombok_jpa_annotations,core_annotations_di,web_mvc_annotations,openapi_documentation,spring_data_jpa",none,LOW
1,57,7,7,2,1,1,0.3916757000621222,0.7055865800645149,0.312873358125284,0,0,0.9557040582134998,17,1,2,0.197547379499033,1,28,0.5416815466401577,"Singleton Design Pattern,spring_mvc_pattern,repository_pattern,basic_programming_constructs,lombok_jpa_annotations,core_annotations_di,openapi_documentation,spring_data_jpa",sql_injection,MEDIUM
3,49,3,10,2,1,0,0.1120770022118493,0.9721077279007796,0.09078385127482438,0,1,0.9396946974519896,12,9,5,0.9432400583606021,1,16,0.3455570677680021,"Singleton Design Pattern,spring_mvc_pattern,repository_pattern,basic_programming_constructs,optional_null_safety,core_annotations_di,web_mvc_annotations,spring_data_jpa",none,LOW
3,45,6,9,1,1,1,0.15149546533217734,0.04360036531871625,0.05131095765878531,0,1,0.9366686155220082,6,9,1,0.802207045540431,0,27,0.09248687760740149,"Singleton Design Pattern,spring_mvc_pattern,repository_pattern,basic_programming_constructs,optional_null_safety,lombok_jpa_annotations,spring_data_jpa",xxe,MEDIUM
1,82,7,11,2,1,1,0.0488141198042622,0.09382890116708476,0.19304406823745446,0,0,0.9462108866633115,1,6,0,0.5326155957459643,0,17,0.09083348008084802,"Singleton Design Pattern,spring_mvc_pattern,basic_programming_constructs",xxe,MEDIUM
3,66,2,13,2,1,0,0.3222261820823699,0.12363676733801388,0.06313656434916824,0,0,0.9006079482246672,6,8,6,0.5597580127666552,1,19,0.3408402407358574,"Singleton Design Pattern,spring_mvc_pattern,restful_api_pattern,repository_pattern,basic_programming_constructs,core_annotations_di,web_mvc_annotations,spring_data_jpa",none,LOW
3,77,3,8,1,1,0,0.09037015326961079,0.43056390494130126,0.2774947209318289,0,2,0.9271543782407469,9,8,11,0.8288366099338216,1,25,0.720411867634402,"Singleton Design Pattern,dependency_injection,spring_mvc_pattern,restful_api_pattern,repository_pattern,basic_programming_constructs,optional_null_safety,lombok_jpa_annotations,core_annotations_di,web_mvc_annotations,http_request_processing,openapi_documentation,spring_data_jpa",none,LOW
2,45,4,8,1,1,0,0.12870244423968286,0.2907801849330537,0.23025235603668692,0,2,0.9062016210585456,16,3,13,0.48415241457288116,1,8,0.8916464512709468,"Singleton Design Pattern,restful_api_pattern,repository_pattern,basic_programming_constructs,http_request_processing",none,LOW
3,79,6,7,1,1,1,0.44405682759018855,0.8069201535406937,0.2964431188075539,0,0,0.9559604538867779,4,7,11,0.47848714092125133,1,10,0.8122246545146238,"Singleton Design Pattern,dependency_injection,restful_api_pattern,repository_pattern,basic_programming_constructs,core_annotations_di,http_request_processing",none,LOW
3,20,1,6,2,1,0,0.1633778376660076,0.47378723920096155,0.025374623862043366,0,0,0.9510848582839883,8,0,5,0.630184629967539,0,1,0.7979182850840076,"Singleton Design Pattern,basic_programming_constructs",none,LOW
3,64,9,11,1,1,0,0.2833233591770835,0.4845373426885524,0.38587902417768155,0,0,0.9549936329451311,3,5,12,0.08830804293774541,1,13,0.005733230906673548,"Singleton Design Pattern,restful_api_pattern,repository_pattern,basic_programming_constructs,web_mvc_annotations",path_traversal,HIGH
2,93,5,8,2,1,0,0.19878300439458851,0.7170381013253537,2.2146702951975074e-06,0,0,0.9216863420619368,19,7,9,0.5821401396616411,0,14,0.19161667218728318,"Singleton Design Pattern,restful_api_pattern,repository_pattern,basic_programming_constructs,web_mvc_annotations,http_request_processing,spring_data_jpa",insecure_deserialization,HIGH
2,93,7,12,1,1,1,0.03701564370295679,0.3619689825357457,0.13017696600541392,0,1,0.9544522450240711,14,1,3,0.2239080033456512,0,0,0.9450879082460147,"Singleton Design Pattern,basic_programming_constructs",sql_injection,MEDIUM
1,67,9,10,2,1,0,0.18143191494835254,0.3532072474204635,0.27185391734649594,0,2,0.9262417114487503,13,7,6,0.11670429566477614,0,0,0.8701663839189022,"Singleton Design Pattern,restful_api_pattern,basic_programming_constructs",sql_injection,MEDIUM
1,83,9,14,2,1,1,0.20403410151796542,0.7569263876274804,0.018056829544847552,0,0,0.9492084107164802,17,3,5,0.8154143041233498,1,8,0.12673063179794142,"Singleton Design Pattern,repository_pattern,basic_programming_constructs,optional_null_safety",none,LOW
1,3,1,13,1,1,1,0.4478505509557591,0.7800417458367648,0.033339832543042784,0,0,0.9164702929641045,9,1,1,0.3818167880727499,0,11,0.636166432903038,"Singleton Design Pattern,dependency_injection,repository_pattern,basic_programming_constructs,core_annotations_di,spring_data_jpa",none,LOW
3,54,1,13,2,1,1,0.16222532682316976,0.014398772532819515,0.03067257489128812,0,0,0.9290127603830242,15,3,14,0.5028143316253169,1,16,0.4331267764788225,"Singleton Design Pattern,spring_mvc_pattern,restful_api_pattern,repository_pattern,basic_programming_constructs,core_annotations_di,web_mvc_annotations,http_request_processing,spring_data_jpa",none,LOW
1,78,3,12,2,1,1,0.18962055988103393,0.143790475840733,0.23260389068839174,0,1,0.9416281324043753,19,7,3,0.29345697628054446,1,14,0.00768355588496894,"Singleton Design Pattern,repository_pattern,basic_programming_constructs,spring_data_jpa",sql_injection,MEDIUM
1,64,6,13,1,1,0,0.39144838433616724,0.21309818114847978,0.3583701260154153,0,2,0.9335277965205596,9,3,13,0.030906025820479077,0,3,0.800152485802012,"Singleton Design Pattern,restful_api_pattern,basic_programming_constructs",sql_injection,HIGH
2,40,2,12,1,1,0,0.37947832560579897,0.3516004687578763,0.2221747910849048,0,2,0.9209264822453506,8,7,8,0.44239182210635375,0,4,0.9431348469696379,"Singleton Design Pattern,restful_api_pattern,basic_programming_constructs",xxe,MEDIUM
1,59,1,14,2,1,1,0.3991426383242454,0.29144808343195305,0.24142854091186866,0,1,0.9222207110349294,15,6,7,0.7502608521509704,1,13,0.9207779491670405,"Singleton Design Pattern,dependency_injection,restful_api_pattern,repository_pattern,basic_programming_constructs,optional_null_safety,core_annotations_di,web_mvc_annotations,spring_data_jpa",none,LOW
2,55,1,6,2,1,1,0.476885370038002,0.6685200483882765,0.13840066048319577,0,0,0.9550148243375723,4,4,5,0.7583309400552823,1,5,0.3842765564163988,"Singleton Design Pattern,basic_programming_constructs,optional_null_safety",none,LOW
3,62,5,9,1,1,0,0.3977787491973921,0.8281352338029582,0.00749646346221291,0,1,0.9306939696524225,18,7,12,0.9220457749108107,1,5,0.7878148829800978,"Singleton Design Pattern,restful_api_pattern,basic_programming_constructs,optional_null_safety,http_request_processing",none,LOW
3,4,4,8,2,1,1,0.20380410160894546,0.19208698235602417,0.00864588710048655,0,2,0.9250748995101881,0,1,0,0.8404034929145308,0,18,0.4979784858542746,"Singleton Design Pattern,spring_mvc_pattern,basic_programming_constructs,optional_null_safety,core_annotations_di",none,LOW
1,60,1,11,1,1,0,0.41075425844904595,0.5629800606019484,0.3553239865923645,0,2,0.9308577913259001,0,2,6,0.9823333573264772,1,22,0.9799889416109379,"Singleton Design Pattern,dependency_injection,spring_mvc_pattern,restful_api_pattern,basic_programming_constructs,optional_null_safety,lombok_jpa_annotations,core_annotations_di,web_mvc_annotations,openapi_documentation",none,LOW
3,75,4,9,1,1,1,0.2543373160449692,0.367816251081036,0.04102897548785869,0,0,0.9234175903871863,4,3,0,0.5716285175294373,1,29,0.9632858756475242,"Singleton Design Pattern,dependency_injection,spring_mvc_pattern,repository_pattern,basic_programming_constructs,lombok_jpa_annotations,core_annotations_di",none,LOW
1,95,3,10,2,1,1,0.13885701625928265,0.5057778750460619,0.39991574872503816,0,1,0.914846494161703,6,9,13,0.05093631345402816,0,23,0.7733530645477357,"Singleton Design Pattern,dependency_injection,spring_mvc_pattern,restful_api_pattern,repository_pattern,basic_programming_constructs,lombok_jpa_annotations,core_annotations_di,web_mvc_annotations,openapi_documentation,spring_data_jpa",sql_injection,HIGH
1,96,2,10,2,1,1,0.1514585340655062,0.6207578417833939,0.06576904460451126,0,1,0.9319070781798164,14,4,7,0.8633956611041027,1,0,0.47133089266233175,"Singleton Design Pattern,restful_api_pattern,basic_programming_constructs,optional_null_safety",none,LOW
3,91,9,14,1,1,0,0.11192119428169917,0.8935998186820111,0.2698537775820758,0,1,0.9060714855821971,10,4,2,0.9520347431308,0,28,0.9019367660701189,"Singleton Design Pattern,dependency_injection,spring_mvc_pattern,repository_pattern,basic_programming_constructs,optional_null_safety,lombok_jpa_annotations,core_annotations_di,openapi_documentation,spring_data_jpa",none,LOW
2,30,1,12,1,1,1,0.0724964789098767,0.19229266782728072,0.3795821888723623,0,1,0.9406268853448788,11,0,8,0.46417299094710185,1,8,0.2239569533619733,"Singleton Design Pattern,restful_api_pattern,repository_pattern,basic_programming_constructs",none,LOW
3,2,7,7,1,1,0,0.09224520592682517,0.08700658705606035,0.1449157110568105,0,1,0.9274174705899145,16,0,12,0.11393640686632411,0,28,0.21422090752902734,"Singleton Design Pattern,spring_mvc_pattern,restful_api_pattern,repository_pattern,basic_programming_constructs,lombok_jpa_annotations,web_mvc_annotations,spring_data_jpa",sql_injection,MEDIUM
2,62,4,7,1,1,0,0.031589024976909685,0.6272119190453525,0.29377327549919574,0,0,0.9403662760119536,16,0,4,0.024623812444931725,1,21,0.5582360020297106,"Singleton Design Pattern,spring_mvc_pattern,repository_pattern,basic_programming_constructs,lombok_jpa_annotations,core_annotations_di,web_mvc_annotations,openapi_documentation,spring_data_jpa",sql_injection,HIGH
2,49,5,13,1,1,0,0.44422543246619317,0.3941308487726265,0.14034265737693405,0,2,0.9439568215174389,16,4,5,0.6135101757109329,0,0,0.8190462893888691,"Singleton Design Pattern,basic_programming_constructs",none,LOW
1,9,5,8,1,1,1,0.4655039048245616,0.16290269329298857,0.12197642270457815,0,1,0.9558027532713325,3,1,3,0.6676236622775283,0,26,0.06210215263279628,"Singleton Design Pattern,spring_mvc_pattern,repository_pattern,basic_programming_constructs,lombok_jpa_annotations",none,LOW
2,92,1,14,1,1,0,0.29338519624694775,0.1170871673548447,0.08072163303017557,0,0,0.9523827764609204,1,2,5,0.01621527957407687,1,24,0.7846974094384411,"Singleton Design Pattern,dependency_injection,spring_mvc_pattern,basic_programming_constructs,lombok_jpa_annotations,core_annotations_di,web_mvc_annotations",xss,HIGH
3,31,6,10,2,1,0,0.4202447783043425,0.5589097868740298,0.32837396275954583,0,2,0.9333054239693465,9,7,8,0.9492609417039388,0,3,0.9493233660876306,"Singleton Design Pattern,restful_api_pattern,basic_programming_constructs,optional_null_safety",xxe,MEDIUM
1,98,9,7,1,1,1,0.09178555132657357,0.3004705945281956,0.10295482544365915,0,1,0.9076919708527645,4,9,6,0.5422369751308598,1,24,0.5459979711260347,"Singleton Design Pattern,spring_mvc_pattern,restful_api_pattern,repository_pattern,basic_programming_constructs,lombok_jpa_annotations,core_annotations_di,web_mvc_annotations",none,LOW
3,61,2,14,2,1,1,0.45083691261349257,0.9974263795859779,0.11326326516234304,0,0,0.9111600993205303,9,7,1,0.6122738823832372,1,15,0.2135571898133043,"Singleton Design Pattern,spring_mvc_pattern,repository_pattern,basic_programming_constructs,spring_data_jpa",none,LOW
3,79,7,9,1,1,1,0.25318077981525416,0.405900819330714,0.399587896879511,0,2,0.9431161646584069,9,9,10,0.5641506129029517,0,25,0.6316715746525096,"Singleton Design Pattern,dependency_injection,spring_mvc_pattern,restful_api_pattern,repository_pattern,basic_programming_constructs,lombok_jpa_annotations,core_annotations_di,web_mvc_annotations,http_request_processing,openapi_documentation,spring_data_jpa",insecure_deserialization,HIGH
2,48,6,8,2,1,0,0.03358249630277754,0.21228660876518268,0.13092417417812793,0,1,0.94660114720533,10,1,5,0.3169355947998008,1,27,0.19682798332255869,"Singleton Design Pattern,spring_mvc_pattern,repository_pattern,basic_programming_constructs,lombok_jpa_annotations,web_mvc_annotations,spring_data_jpa",authentication_bypass,HIGH
2,25,5,10,2,1,0,0.0706563722470801,0.6288490451172778,0.16910979553281957,0,0,0.9446548793001094,9,7,10,0.9005816950457314,0,4,0.3904707008224968,"Singleton Design Pattern,restful_api_pattern,basic_programming_constructs,optional_null_safety,http_request_processing",insecure_deserialization,HIGH
2,36,4,9,1,1,0,0.1544882303934086,0.2442548896905069,0.396022183109934,0,2,0.9271710592374516,10,8,10,0.0038098024936462638,1,15,0.6996303602528516,"Singleton Design Pattern,dependency_injection,spring_mvc_pattern,restful_api_pattern,repository_pattern,basic_programming_constructs,core_annotations_di,web_mvc_annotations,spring_data_jpa",sql_injection,HIGH
3,8,4,7,2,1,1,0.021778790177375718,0.4940860432311611,0.14772013816697052,0,1,0.9042646568492253,5,9,12,0.7471934436388982,1,21,0.38135834718975214,"Singleton Design Pattern,spring_mvc_pattern,restful_api_pattern,repository_pattern,basic_programming_constructs,optional_null_safety,lombok_jpa_annotations,core_annotations_di,web_mvc_annotations,http_request_processing",none,LOW
2,73,6,13,2,1,0,0.1546466890087218,0.4825761837210074,0.1464608028943468,0,1,0.9420240324557165,9,9,12,0.3608309549718225,1,13,0.484366468796002,"Singleton Design Pattern,restful_api_pattern,repository_pattern,basic_programming_constructs,core_annotations_di,web_mvc_annotations,spring_data_jpa",path_traversal,MEDIUM
2,58,4,7,2,1,0,0.029965216559445895,0.4535576297157372,0.3310857864855441,0,1,0.920329095199845,7,5,11,0.1902238009079561,1,8,0.5452528874564333,"Singleton Design Pattern,restful_api_pattern,repository_pattern,basic_programming_constructs",sql_injection,MEDIUM
2,45,5,13,2,1,0,0.11801380259641259,0.7960856962695749,0.12477214739507683,0,2,0.9196898363033671,10,0,8,0.4361061930535981,1,13,0.3394226636694819,"Singleton Design Pattern,restful_api_pattern,repository_pattern,basic_programming_constructs,core_annotations_di,web_mvc_annotations,spring_data_jpa",none,LOW
2,62,6,12,1,1,0,0.1328348779282208,0.2166130014661839,0.09351444145696286,0,0,0.9473964468631395,19,2,7,0.19803491705135057,0,15,0.07632107059955795,"Singleton Design Pattern,spring_mvc_pattern,restful_api_pattern,repository_pattern,basic_programming_constructs,web_mvc_annotations,spring_data_jpa",sql_injection,MEDIUM
2,39,5,12,2,1,0,0.49718448818339694,0.9043073050704701,0.16928410207012892,0,0,0.9230195931512889,18,4,12,0.8688307397609114,0,29,0.5108975066781783,"Singleton Design Pattern,spring_mvc_pattern,restful_api_pattern,repository_pattern,basic_programming_constructs,optional_null_safety,lombok_jpa_annotations,core_annotations_di,web_mvc_annotations,http_request_processing,spring_data_jpa",insecure_deserialization,HIGH
3,96,7,13,2,1,0,0.11777333688183222,0.7913405032135343,0.2802563202304771,0,0,0.928689392572012,6,2,10,0.7956060491094153,0,5,0.48781291093735635,"Singleton Design Pattern,restful_api_pattern,basic_programming_constructs,optional_null_safety,http_request_processing",insecure_deserialization,HIGH
1,58,9,12,1,1,0,0.11959322446929016,0.33312236424332375,0.01729720999170614,0,2,0.9258371283299661,11,2,12,0.8569968264371558,1,16,0.4264923256919003,"Singleton Design Pattern,spring_mvc_pattern,restful_api_pattern,repository_pattern,basic_programming_constructs,optional_null_safety,core_annotations_di,web_mvc_annotations,http_request_processing,spring_data_jpa",none,LOW
3,81,7,11,2,1,0,0.3433944841791925,0.18060250628013852,0.1495664108874267,0,1,0.9403707850171812,5,8,13,0.8358709013652926,1,0,0.1844848301329577,"Singleton Design Pattern,restful_api_pattern,basic_programming_constructs,optional_null_safety,http_request_processing",none,LOW
2,99,7,14,2,1,0,0.429678739258226,0.2795350245067413,0.13849796077833615,0,0,0.9123219123486341,11,4,0,0.8248137221887295,0,17,0.05229796212420823,"Singleton Design Pattern,spring_mvc_pattern,repository_pattern,basic_programming_constructs,optional_null_safety,spring_data_jpa",none,LOW
2,83,4,8,2,1,0,0.19352770630104327,0.33263624690907834,0.09792733890481303,0,1,0.9017613339425499,4,7,4,0.5814236423063138,0,10,0.8266385062714636,"Singleton Design Pattern,dependency_injection,repository_pattern,basic_programming_constructs,core_annotations_di",xxe,MEDIUM
2,64,1,14,2,1,0,0.4378090099703462,0.5569331688070467,0.261714934361738,0,1,0.93300041810644,12,6,5,0.9019664456917618,0,10,0.532316557892218,"Singleton Design Pattern,repository_pattern,basic_programming_constructs,optional_null_safety,core_annotations_di",xxe,MEDIUM
1,44,8,11,2,1,1,0.17007101037387856,0.046368168813650135,0.11599603216547094,0,1,0.9013621965160813,16,3,8,0.05914965132104266,1,27,0.9802912884972494,"Singleton Design Pattern,dependency_injection,spring_mvc_pattern,restful_api_pattern,repository_pattern,basic_programming_constructs,lombok_jpa_annotations,core_annotations_di,web_mvc_annotations,spring_data_jpa",sql_injection,HIGH
2,29,4,7,1,1,0,0.09850793980750966,0.9143591298520531,0.2426926236032012,0,2,0.9312480781103118,8,2,3,0.28587472029087235,1,11,0.9778238232710452,"Singleton Design Pattern,dependency_injection,repository_pattern,basic_programming_constructs,core_annotations_di,spring_data_jpa",sql_injection,MEDIUM
2,59,1,13,1,1,0,0.16481941216386176,0.09867485666111098,0.20173473658185082,0,1,0.9041032786791737,19,2,12,0.21256427757999996,0,1,0.5800744050261194,"Singleton Design Pattern,restful_api_pattern,basic_programming_constructs",sql_injection,MEDIUM
1,71,5,7,1,1,0,0.3046781869639962,0.2792733941000348,0.08687594833035944,0,2,0.9243262517781292,16,1,0,0.12108041666360925,1,15,0.49012254208386563,"Singleton Design Pattern,spring_mvc_pattern,repository_pattern,basic_programming_constructs,core_annotations_di,spring_data_jpa",sql_injection,MEDIUM
3,92,8,6,2,1,1,0.18357157965603688,0.10928743795296658,0.10662642281687265,0,2,0.9238462238913497,18,4,13,0.006350722995223657,1,21,0.18645027681436754,"Singleton Design Pattern,spring_mvc_pattern,restful_api_pattern,repository_pattern,basic_programming_constructs,lombok_jpa_annotations,web_mvc_annotations,spring_data_jpa",sql_injection,HIGH
1,9,4,7,2,1,1,0.3364469019946444,0.25667282652566015,0.06824002132262556,0,1,0.9551679148452067,18,1,5,0.40264445739011057,1,9,0.37933571556718726,"Singleton Design Pattern,repository_pattern,basic_programming_constructs,core_annotations_di",none,LOW
3,92,8,7,1,1,0,0.1184679397112412,0.8376738186088084,0.022651685940383137,0,0,0.9445897649354785,7,1,8,0.7240009251033852,0,25,0.7854309309406629,"Singleton Design Pattern,dependency_injection,spring_mvc_pattern,restful_api_pattern,repository_pattern,basic_programming_constructs,optional_null_safety,lombok_jpa_annotations,core_annotations_di,web_mvc_annotations,spring_data_jpa",none,LOW
1,6,8,13,2,1,1,0.3504964469945744,0.6151758113832423,0.24767538524196464,0,1,0.9048637020754471,7,3,5,0.6448861694592178,1,20,0.9632240151370134,"Singleton Design Pattern,dependency_injection,spring_mvc_pattern,repository_pattern,basic_programming_constructs,core_annotations_di,web_mvc_annotations,openapi_documentation,spring_data_jpa",none,LOW
1,29,3,11,2,1,0,0.17371918162423333,0.22732322508948066,0.2691154775657338,0,2,0.9322252287018507,14,5,6,0.6510463657649856,1,13,0.5998279796048349,"Singleton Design Pattern,restful_api_pattern,repository_pattern,basic_programming_constructs,core_annotations_di,web_mvc_annotations,spring_data_jpa",none,LOW
